Unnamed: 0,id,code_id_1,code_id_2,label
1882,1882,106,127,1
6377,6377,18,410,0
8522,8522,17,388,0
1940,1940,107,125,1
3296,3296,168,177,1
3534,3534,177,242,1
6663,6663,159,390,0
3729,3729,243,248,1
490,490,86,176,1
7677,7677,197,405,0
1181,1181,95,235,1
1375,1375,98,167,1
5014,5014,24,52,1
7940,7940,72,326,0
10186,10186,124,378,0
626,626,88,122,1
4758,4758,366,367,1
11169,11169,68,38,0
2112,2112,110,123,1
8498,8498,141,327,0
8104,8104,343,202,0
6177,6177,369,44,0
1767,1767,104,166,1
9020,9020,125,45,0
4180,4180,342,377,1
9311,9311,279,211,0
7735,7735,151,86,0
1462,1462,99,238,1
2887,2887,125,246,1
8779,8779,267,40,0
684,684,89,102,1
4539,4539,354,370,1
4514,4514,353,370,1
9456,9456,232,322,0
9674,9674,217,257,0
1366,1366,98,127,1
3916,3916,267,350,1
12062,12062,368,157,0
2639,2639,120,166,1
11638,11638,134,66,0
5602,5602,41,45,1
11102,11102,206,233,0
5729,5729,46,52,1
5730,5730,46,53,1
7631,7631,290,248,0
8511,8511,164,350,0
2300,2300,113,177,1
4787,4787,368,373,1
2938,2938,127,164,1
5659,5659,43,51,1
8410,8410,114,303,0
10651,10651,14,253,0
7633,7633,192,334,0
1979,1979,107,247,1
5979,5979,64,202,1
3803,3803,20,369,1
4534,4534,354,365,1
7199,7199,69,260,0
11484,11484,369,381,0
6954,6954,71,148,0
7202,7202,71,116,0
10302,10302,303,198,0
4800,4800,369,376,1
2280,2280,113,126,1
6750,6750,236,31,0
6298,6298,382,411,0
4469,4469,351,378,1
5133,5133,27,45,1
7834,7834,201,190,0
998,998,93,114,1
4130,4130,341,364,1
5266,5266,30,61,1
8675,8675,21,409,0
12067,12067,136,384,0
1784,1784,104,235,1
3182,3182,164,241,1
10661,10661,9,100,0
494,494,86,232,1
6890,6890,238,344,0
9551,9551,217,117,0
6321,6321,22,329,0
2860,2860,125,167,1
2038,2038,108,247,1
4041,4041,339,352,1
9434,9434,365,391,0
2897,2897,126,163,1
366,366,85,102,1
849,849,91,114,1
10378,10378,7,377,0
6729,6729,180,193,0
8158,8158,129,205,0
8630,8630,90,365,0
2653,2653,120,232,1
3503,3503,176,232,1
8481,8481,232,133,0
6095,6095,258,320,1
1541,1541,100,307,1
6325,6325,202,251,0
10903,10903,251,402,0
322,322,18,171,1
2031,2031,108,240,1
7974,7974,78,236,0
7209,7209,30,328,0
813,813,90,237,1
2528,2528,118,119,1
11533,11533,170,330,0
6791,6791,9,99,0
11311,11311,98,391,0
10483,10483,169,21,0
5274,5274,31,32,1
1079,1079,94,122,1
2226,2226,112,126,1
9606,9606,78,65,0
11233,11233,247,200,0
3515,3515,176,244,1
2705,2705,121,238,1
9530,9530,207,18,0
6459,6459,99,33,0
1164,1164,95,166,1
3261,3261,167,172,1
6436,6436,30,65,0
11140,11140,373,254,0
1450,1450,99,174,1
6126,6126,264,328,1
4229,4229,344,355,1
3862,3862,200,339,1
2936,2936,127,162,1
9934,9934,150,345,0
3917,3917,267,351,1
5487,5487,37,44,1
11510,11510,281,227,0
10018,10018,248,260,0
1723,1723,103,237,1
11206,11206,104,229,0
11059,11059,84,363,0
6839,6839,79,264,0
4056,4056,339,367,1
11701,11701,376,192,0
2999,2999,128,238,1
10684,10684,10,191,0
11765,11765,105,399,0
1231,1231,96,162,1
1514,1514,100,171,1
2313,2313,113,242,1
9014,9014,117,188,0
1451,1451,99,175,1
10428,10428,140,96,0
11313,11313,72,286,0
6768,6768,239,316,0
8439,8439,63,321,0
10490,10490,139,336,0
4321,4321,347,348,1
8341,8341,102,349,0
838,838,91,103,1
12197,12197,306,375,0
7040,7040,181,395,0
3899,3899,200,376,1
11031,11031,151,414,0
3567,3567,231,236,1
11395,11395,309,412,0
5452,5452,36,40,1
3087,3087,162,163,1
8198,8198,150,338,0
10634,10634,150,115,0
4546,4546,354,377,1
4692,4692,361,376,1
1714,1714,103,176,1
11248,11248,296,252,0
4270,4270,345,362,1
339,339,18,240,1
9142,9142,96,389,0
4086,4086,340,358,1
7793,7793,5,289,0
11949,11949,0,295,0
7471,7471,126,313,0
588,588,87,246,1
3365,3365,170,241,1
2670,2670,120,306,1
5515,5515,38,42,1
3589,3589,232,240,1
34,34,137,138,1
28,28,69,138,1
2395,2395,115,167,1
11703,11703,274,351,0
6865,6865,99,156,0
5506,5506,37,63,1
9044,9044,212,302,0
2170,2170,111,125,1
7826,7826,275,219,0
7105,7105,5,53,0
889,889,91,237,1
3878,3878,200,355,1
3322,3322,169,174,1
11559,11559,319,389,0
3514,3514,176,243,1
6903,6903,239,351,0
11916,11916,9,261,0
5673,5673,43,201,1
8495,8495,367,52,0
9626,9626,225,193,0
3733,3733,244,246,1
7159,7159,78,299,0
11645,11645,283,327,0
9364,9364,322,48,0
4528,4528,354,359,1
1654,1654,102,232,1
9342,9342,75,270,0
12254,12254,184,389,0
223,223,14,293,1
10607,10607,8,62,0
7807,7807,132,133,0
10630,10630,285,250,0
5982,5982,133,134,1
4239,4239,344,365,1
5882,5882,54,201,1
1590,1590,101,233,1
8629,8629,113,48,0
3256,3256,166,307,1
7044,7044,208,235,0
9532,9532,151,318,0
2181,2181,111,167,1
7615,7615,292,179,0
9191,9191,277,27,0
8861,8861,168,344,0
6165,6165,137,194,0
8093,8093,227,315,0
7532,7532,301,262,0
9292,9292,294,231,0
9178,9178,12,409,0
4817,4817,371,376,1
7297,7297,121,309,0
6876,6876,153,322,0
1209,1209,96,109,1
6557,6557,285,52,0
421,421,85,240,1
10759,10759,165,183,0
1706,1706,103,168,1
1158,1158,95,129,1
2306,2306,113,235,1
273,273,18,91,1
171,171,217,286,1
3956,3956,337,348,1
5606,5606,41,49,1
9226,9226,21,183,0
4865,4865,21,38,1
10078,10078,217,382,0
3188,3188,164,247,1
1725,1725,103,239,1
7613,7613,306,360,0
8390,8390,161,60,0
1564,1564,101,124,1
1782,1782,104,233,1
843,843,91,108,1
11498,11498,3,53,0
6794,6794,351,255,0
904,904,92,94,1
3494,3494,175,245,1
11901,11901,144,30,0
7791,7791,7,92,0
1547,1547,101,107,1
11331,11331,340,22,0
2080,2080,109,231,1
9392,9392,171,160,0
9211,9211,286,154,0
7822,7822,350,183,0
3985,3985,337,377,1
8898,8898,103,327,0
7988,7988,75,32,0
8761,8761,77,29,0
9026,9026,62,261,0
10077,10077,174,52,0
4677,4677,360,379,1
3820,3820,131,341,1
5209,5209,29,42,1
2646,2646,120,173,1
10100,10100,219,338,0
9420,9420,129,25,0
7772,7772,112,310,0
256,256,155,299,1
8031,8031,20,179,0
9322,9322,57,335,0
4350,4350,347,377,1
8781,8781,72,393,0
7063,7063,100,388,0
5923,5923,58,60,1
6365,6365,76,415,0
9522,9522,66,181,0
2155,2155,110,306,1
10664,10664,245,229,0
10932,10932,151,121,0
3715,3715,241,306,1
4057,4057,339,368,1
9003,9003,323,313,0
10199,10199,228,251,0
3622,3622,234,240,1
5648,5648,42,201,1
6795,6795,144,60,0
6403,6403,138,130,0
3102,3102,162,230,1
558,558,87,164,1
7946,7946,130,366,0
6654,6654,215,312,0
1436,1436,99,129,1
507,507,86,245,1
5275,5275,31,33,1
4472,4472,352,354,1
1869,1869,106,114,1
5663,5663,43,55,1
9136,9136,108,341,0
5930,5930,58,393,1
10397,10397,28,305,0
755,755,90,96,1
7821,7821,101,348,0
2339,2339,114,163,1
4050,4050,339,361,1
8011,8011,113,270,0
3836,3836,131,357,1
4386,4386,349,352,1
7952,7952,120,272,0
10869,10869,276,345,0
2118,2118,110,129,1
10650,10650,7,355,0
729,729,89,230,1
501,501,86,239,1
9889,9889,14,412,0
643,643,88,170,1
11617,11617,127,60,0
1539,1539,100,248,1
9970,9970,262,335,0
1211,1211,96,111,1
10593,10593,329,401,0
11213,11213,7,171,0
672,672,89,90,1
4915,4915,22,42,1
6106,6106,262,326,1
6596,6596,75,406,0
3377,3377,171,174,1
4476,4476,352,358,1
5615,5615,41,58,1
10811,10811,139,99,0
1464,1464,99,240,1
4745,4745,365,367,1
11544,11544,118,49,0
1192,1192,95,246,1
3793,3793,20,359,1
1872,1872,106,117,1
3590,3590,232,241,1
6360,6360,294,296,0
3158,3158,164,165,1
9933,9933,233,303,0
505,505,86,243,1
243,243,154,223,1
5678,5678,44,46,1
506,506,86,244,1
10058,10058,30,269,0
6501,6501,328,400,0
