Unnamed: 0,id,code_id_1,code_id_2,label
1841,1841,110,71,0
368,368,124,9,1
1519,1519,87,83,0
1305,1305,59,141,0
984,984,132,115,0
1100,1100,79,142,0
1644,1644,19,25,0
948,948,100,6,0
227,227,112,92,1
1669,1669,89,126,0
1133,1133,15,132,0
1247,1247,42,11,0
1029,1029,36,113,0
66,66,10,86,1
393,393,129,7,1
579,579,16,92,1
24,24,29,30,1
211,211,112,48,1
1446,1446,17,82,0
144,144,107,77,1
536,536,15,48,1
811,811,53,93,1
1050,1050,28,66,0
998,998,134,44,0
85,85,106,16,1
1695,1695,97,90,0
272,272,119,139,1
952,952,80,11,0
1615,1615,127,144,0
1112,1112,94,50,0
997,997,4,108,0
1697,1697,33,83,0
630,630,25,92,1
1288,1288,122,143,0
1756,1756,111,1,0
987,987,63,10,0
1287,1287,134,32,0
1074,1074,45,80,0
505,505,14,4,1
273,273,119,14,1
507,507,14,47,1
1235,1235,70,114,0
362,362,124,76,1
1517,1517,19,126,0
1837,1837,101,136,0
622,622,25,71,1
2,2,54,99,1
6,6,104,109,1
1163,1163,114,85,0
311,311,12,21,1
1271,1271,5,55,0
999,999,45,128,0
665,665,32,6,1
364,364,124,8,1
1850,1850,55,138,0
215,215,112,6,1
77,77,106,12,1
982,982,39,102,0
27,27,30,34,1
1348,1348,126,132,0
525,525,14,93,1
1723,1723,22,116,0
1336,1336,70,32,0
638,638,31,48,1
302,302,119,98,1
718,718,4,89,1
691,691,37,71,1
1475,1475,84,46,0
1343,1343,36,134,0
624,624,25,77,1
7,7,104,110,1
256,256,118,71,1
803,803,53,76,1
25,25,29,34,1
336,336,12,93,1
572,572,16,76,1
47,47,10,31,1
1803,1803,128,1,0
106,106,106,82,1
349,349,124,37,1
55,55,10,53,1
238,238,118,15,1
213,213,112,53,1
120,120,107,13,1
1177,1177,45,16,0
1068,1068,27,112,0
793,793,5,9,1
1053,1053,3,114,0
1575,1575,95,124,0
523,523,14,9,1
232,232,118,124,1
644,644,31,66,1
1418,1418,91,55,0
533,533,15,4,1
1419,1419,11,49,0
603,603,21,89,1
1137,1137,63,30,0
1223,1223,42,14,0
60,60,10,7,1
1185,1185,24,116,0
92,92,106,44,1
666,666,32,65,1
280,280,119,37,1
1870,1870,50,73,0
359,359,124,66,1
1690,1690,121,100,0
1421,1421,118,143,0
847,847,65,8,1
1292,1292,101,10,0
110,110,106,92,1
42,42,10,14,1
125,125,107,16,1
204,204,112,25,1
52,52,10,47,1
545,545,15,76,1
68,68,10,9,1
1316,1316,79,114,0
1456,1456,61,43,0
183,183,11,77,1
137,137,107,56,1
899,899,77,86,1
796,796,5,98,1
132,132,107,44,1
80,80,106,13,1
1450,1450,110,102,0
541,541,15,65,1
1502,1502,128,86,0
983,983,40,10,0
165,165,11,21,1
248,248,118,48,1
446,446,131,4,1
1078,1078,96,61,0
858,858,66,77,1
1477,1477,118,138,0
97,97,106,56,1
1851,1851,28,112,0
737,737,44,86,1
1178,1178,39,74,0
102,102,106,71,1
434,434,13,92,1
74,74,106,112,1
1857,1857,87,119,0
1873,1873,105,62,0
918,918,86,89,1
1612,1612,120,6,0
1574,1574,48,102,0
1526,1526,103,100,0
762,762,48,5,1
989,989,18,61,0
388,388,129,53,1
235,235,118,131,1
1417,1417,3,4,0
267,267,119,12,1
1116,1116,127,98,0
117,117,107,12,1
1512,1512,97,107,0
673,673,32,82,1
249,249,118,5,1
1364,1364,104,123,0
1872,1872,15,90,0
94,94,106,48,1
33,33,10,112,1
1375,1375,64,116,0
1572,1572,128,32,0
448,448,131,47,1
716,716,4,82,1
1240,1240,59,48,0
1428,1428,140,38,0
0,0,19,54,1
1290,1290,69,60,0
1101,1101,126,116,0
1108,1108,118,111,0
82,82,106,139,1
1208,1208,35,111,0
676,676,32,9,1
1675,1675,88,57,0
1046,1046,59,23,0
770,770,48,76,1
1554,1554,66,49,0
1201,1201,133,93,0
1489,1489,30,124,0
1399,1399,97,140,0
404,404,129,98,1
1625,1625,120,41,0
1222,1222,109,50,0
1859,1859,22,143,0
104,104,106,77,1
688,688,37,65,1
1602,1602,103,106,0
826,826,56,93,1
62,62,10,76,1
852,852,65,92,1
1269,1269,36,62,0
223,223,112,82,1
145,145,107,8,1
1088,1088,22,95,0
373,373,129,131,1
1856,1856,94,98,0
1717,1717,21,102,0
1405,1405,35,15,0
1507,1507,31,114,0
1192,1192,108,43,0
9,9,105,110,1
449,449,131,48,1
708,708,4,6,1
255,255,118,7,1
882,882,71,86,1
389,389,129,56,1
908,908,8,9,1
924,924,89,92,1
1605,1605,62,49,0
1822,1822,87,60,0
460,460,131,8,1
1351,1351,48,90,0
958,958,52,60,0
501,501,14,25,1
739,739,44,9,1
1737,1737,17,114,0
868,868,7,76,1
731,731,44,7,1
539,539,15,56,1
697,697,37,89,1
1511,1511,80,83,0
1318,1318,63,15,0
1145,1145,133,58,0
1031,1031,3,17,0
372,372,129,13,1
667,667,32,66,1
